TrainsUK2;TrainsUK2_1;1_Actual Total Distance Miles;double;13457372
TrainsUK2;TrainsUK2_1;16_Planned Total Distance Miles;double;13277048
TrainsUK2;TrainsUK2_1;23_v_Dest Lateness (WTT);double;8723880
Generico;Generico_1;22_InversionQ;double;12840604
Generico;Generico_1;23_InversionUS;double;12872904
Redfin1;Redfin1_1;39_sold_above_list;double;3356532
Redfin1;Redfin1_1;34_price_drops_mom;double;1491276
Redfin1;Redfin1_1;14_median_dom_yoy;double;3195596
Redfin1;Redfin1_1;19_median_list_price_mom;double;9599456
Redfin1;Redfin1_1;22_median_ppsf_mom;double;16915032
Redfin1;Redfin1_1;13_median_dom_mom;double;2881524
Redfin1;Redfin1_1;3_avg_sale_to_list_mom;double;17195932
Redfin1;Redfin1_1;8_homes_sold_yoy;double;3965088
Redfin1;Redfin1_1;4_avg_sale_to_list_yoy;double;17371048
Redfin1;Redfin1_1;25_median_sale_price_mom;double;8914236
Redfin1;Redfin1_1;28_new_listings_mom;double;4070884
Redfin1;Redfin1_1;16_median_list_ppsf_mom;double;16850520
Redfin1;Redfin1_1;23_median_ppsf_yoy;double;17529388
Redfin1;Redfin1_1;17_median_list_ppsf_yoy;double;16857872
Redfin1;Redfin1_1;11_inventory_yoy;double;4577960
Redfin1;Redfin1_1;26_median_sale_price_yoy;double;9665060
Redfin1;Redfin1_1;7_homes_sold_mom;double;3882808
Redfin1;Redfin1_1;10_inventory_mom;double;4191724
Redfin1;Redfin1_1;15_median_list_ppsf;double;13118940
Redfin1;Redfin1_1;33_price_drops;double;856752
Redfin1;Redfin1_1;35_price_drops_yoy;double;1282304
Redfin1;Redfin1_1;41_sold_above_list_yoy;double;6312228
Redfin1;Redfin1_1;29_new_listings_yoy;double;4060204
Redfin1;Redfin1_1;24_median_sale_price;double;4953072
Redfin1;Redfin1_1;2_avg_sale_to_list;double;14828500
Redfin1;Redfin1_1;18_median_list_price;double;4809368
Redfin1;Redfin1_1;12_median_dom;double;3146828
Redfin1;Redfin1_1;40_sold_above_list_mom;double;6164656
Redfin1;Redfin1_1;20_median_list_price_yoy;double;10224124
